"","species","les","Length","Diet.Class.1","Diet.Class.2","Diet.Class.3","Home.Range","Schooling","Level","Activity","period","depth.group","haul","total","vul","resilience","mean.tmp","min.tmp","max.tmp","range.tmp"
"59","Anguilla anguilla",0,"130","C","P","","W","S","B","B","1990-4","D","226",1,64,"very low",15.518766806764,-1.99000000953674,31.8899993896484,27.9020004272461
"60","Anguilla anguilla",0,"130","C","P","","W","S","B","B","1990-4","D","228",1,64,"very low",15.518766806764,-1.99000000953674,31.8899993896484,27.9020004272461
"61","Anthias anthias",0,"27","Z","","","S","L","H","D","2008-12","M","199",1,37,"medium",22.4558663056372,0.340000003576279,33.8499984741211,26.2369995117188
"62","Apogon imberbis",0,"15","Z","C","","S","L","L","N","2008-12","M","65",1,15,"medium",21.9411801665472,0.340000003576279,33.8499984741211,26.2369995117188
"63","Apogon imberbis",0,"15","Z","C","","S","L","L","N","1990-4","S","6",2,15,"medium",21.9411801665472,0.340000003576279,33.8499984741211,26.2369995117188
"64","Apogon imberbis",0,"15","Z","C","","S","L","L","N","2008-12","M","64",1,15,"medium",21.9411801665472,0.340000003576279,33.8499984741211,26.2369995117188
"65","Apogon imberbis",0,"15","Z","C","","S","L","L","N","1990-4","D","25",1,15,"medium",21.9411801665472,0.340000003576279,33.8499984741211,26.2369995117188
"66","Apogon imberbis",0,"15","Z","C","","S","L","L","N","1990-4","S","22",1,15,"medium",21.9411801665472,0.340000003576279,33.8499984741211,26.2369995117188
"67","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","D","261",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"68","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","211",17,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"69","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","53",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"70","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","199",42,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"71","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","D","14",12,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"72","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","212",54,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"73","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","151",12,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"74","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","M","254",1,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"75","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","137",43,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
"76","Apogon smithi",1,"10","Z","C","","S","L","L","N","2008-12","S","132",2,12,"high",27.4509737187871,14.1899995803833,37.5999984741211,19.9769992828369
