%Date	Daily Average Bottom Temperaure C (deg)-26 m. depth
2004 11 29 00 00 00	22.12
2004 11 30 00 00 00	21.84
2004 12 01 00 00 00	22.01
2004 12 02 00 00 00	21.72
2004 12 03 00 00 00	21.43
2004 12 04 00 00 00	21.33
2004 12 05 00 00 00	21.24
2004 12 06 00 00 00	21.12
2004 12 07 00 00 00	21.19
2004 12 08 00 00 00	21.16
2004 12 09 00 00 00	20.64
2004 12 10 00 00 00	20.92
2004 12 11 00 00 00	20.83
2004 12 12 00 00 00	20.84
2004 12 13 00 00 00	20.62
2004 12 14 00 00 00	20.44
2004 12 15 00 00 00	20.39
2004 12 16 00 00 00	20.27
2004 12 17 00 00 00	20.08
2004 12 18 00 00 00	19.59
2004 12 19 00 00 00	19.55
2004 12 20 00 00 00	19.50
2004 12 21 00 00 00	19.28
2004 12 22 00 00 00	19.57
2004 12 23 00 00 00	19.57
2004 12 24 00 00 00	19.67
2004 12 25 00 00 00	19.41
2004 12 26 00 00 00	19.23
2004 12 27 00 00 00	19.16
2004 12 28 00 00 00	19.17
2004 12 29 00 00 00	19.37
2004 12 30 00 00 00	19.39
2004 12 31 00 00 00	19.09
2005 01 01 00 00 00	19.36
2005 01 02 00 00 00	19.59
2005 01 03 00 00 00	-1000.00
2005 01 04 00 00 00	19.20
2005 01 05 00 00 00	18.77
2005 01 06 00 00 00	18.57
2005 01 07 00 00 00	18.86
2005 01 08 00 00 00	18.81
2005 01 09 00 00 00	18.38
2005 01 10 00 00 00	18.37
2005 01 11 00 00 00	18.59
2005 01 12 00 00 00	18.64
2005 01 13 00 00 00	18.73
2005 01 14 00 00 00	18.66
2005 01 15 00 00 00	18.65
2005 01 16 00 00 00	18.73
2005 01 17 00 00 00	18.65
2005 01 18 00 00 00	18.58
2005 01 19 00 00 00	18.19
2005 01 20 00 00 00	18.19
2005 01 21 00 00 00	18.32
2005 01 22 00 00 00	17.93
2005 01 23 00 00 00	17.85
2005 01 24 00 00 00	17.82
2005 01 25 00 00 00	17.74
2005 01 26 00 00 00	17.96
2005 01 27 00 00 00	18.03
2005 01 28 00 00 00	18.08
2005 01 29 00 00 00	18.06
2005 01 30 00 00 00	18.05
2005 01 31 00 00 00	18.09
2005 02 01 00 00 00	18.02
2005 02 02 00 00 00	17.87
2005 02 03 00 00 00	17.87
2005 02 04 00 00 00	17.79
2005 02 05 00 00 00	-1000.00
2005 02 06 00 00 00	17.00
2005 02 07 00 00 00	17.06
2005 02 08 00 00 00	16.83
2005 02 09 00 00 00	16.86
2005 02 10 00 00 00	16.60
2005 02 11 00 00 00	-1000.00
2005 02 12 00 00 00	16.52
2005 02 13 00 00 00	16.64
2005 02 14 00 00 00	16.77
2005 02 15 00 00 00	16.74
2005 02 16 00 00 00	16.68
2005 02 17 00 00 00	16.81
2005 02 18 00 00 00	16.89
2005 02 19 00 00 00	17.18
2005 02 20 00 00 00	17.19
2005 02 21 00 00 00	17.08
2005 02 22 00 00 00	17.08
2005 02 23 00 00 00	17.14
2005 02 24 00 00 00	17.23
2005 02 25 00 00 00	17.34
2005 02 26 00 00 00	17.31
2005 02 27 00 00 00	17.34
2005 02 28 00 00 00	17.48
2005 03 01 00 00 00	17.51
2005 03 02 00 00 00	17.53
2005 03 03 00 00 00	17.51
2005 03 04 00 00 00	17.52
2005 03 05 00 00 00	-1000.00
2005 03 06 00 00 00	17.62
2005 03 07 00 00 00	17.66
2005 03 08 00 00 00	17.81
2005 03 09 00 00 00	18.02
2005 03 10 00 00 00	18.10
2005 03 11 00 00 00	17.91
2005 03 12 00 00 00	17.84
2005 03 13 00 00 00	17.72
2005 03 14 00 00 00	17.78
2005 03 15 00 00 00	17.69
2005 03 16 00 00 00	17.70
2005 03 17 00 00 00	17.72
2005 03 18 00 00 00	17.74
2005 03 19 00 00 00	17.74
2005 03 20 00 00 00	17.89
2005 03 21 00 00 00	17.99
2005 03 22 00 00 00	18.06
2005 03 23 00 00 00	18.05
2005 03 24 00 00 00	18.14
2005 03 25 00 00 00	18.23
2005 03 26 00 00 00	18.12
2005 03 27 00 00 00	18.02
2005 03 28 00 00 00	17.91
2005 03 29 00 00 00	17.83
2005 03 30 00 00 00	17.76
2005 03 31 00 00 00	17.77
2005 04 01 00 00 00	17.82
2005 04 02 00 00 00	18.28
2005 04 03 00 00 00	18.42
2005 04 04 00 00 00	18.41
2005 04 05 00 00 00	18.43
2005 04 06 00 00 00	18.41
2005 04 07 00 00 00	18.33
2005 04 08 00 00 00	18.18
2005 04 09 00 00 00	18.22
2005 04 10 00 00 00	18.11
2005 04 11 00 00 00	17.96
2005 04 12 00 00 00	17.77
2005 04 13 00 00 00	17.66
2005 04 14 00 00 00	17.98
2005 04 15 00 00 00	-1000.00
2005 04 16 00 00 00	-1000.00
2005 04 17 00 00 00	18.16
2005 04 18 00 00 00	17.97
2005 04 19 00 00 00	17.87
2005 04 20 00 00 00	17.72
2005 04 21 00 00 00	17.60
2005 04 22 00 00 00	17.49
2005 04 23 00 00 00	17.39
2005 04 24 00 00 00	17.36
2005 04 25 00 00 00	17.59
2005 04 26 00 00 00	17.91
2005 04 27 00 00 00	18.46
2005 04 28 00 00 00	18.66
2005 04 29 00 00 00	19.04
2005 04 30 00 00 00	19.69
2005 05 01 00 00 00	19.81
2005 05 02 00 00 00	20.29
2005 05 03 00 00 00	20.54
2005 05 04 00 00 00	20.82
2005 05 05 00 00 00	21.03
2005 05 06 00 00 00	21.04
2005 05 07 00 00 00	20.76
2005 05 08 00 00 00	21.17
2005 05 09 00 00 00	20.43
2005 05 10 00 00 00	20.37
2005 05 11 00 00 00	20.24
2005 05 12 00 00 00	20.26
2005 05 13 00 00 00	21.26
2005 05 14 00 00 00	21.86
