%Date	Daily Average Bottom Temperaure C (deg)-26 m. depth
2008 06 09 00 00 00	23.32
2008 06 10 00 00 00	23.88
2008 06 11 00 00 00	25.02
2008 06 12 00 00 00	25.59
2008 06 13 00 00 00	25.49
2008 06 14 00 00 00	25.31
2008 06 15 00 00 00	25.42
2008 06 16 00 00 00	25.18
2008 06 17 00 00 00	25.64
2008 06 18 00 00 00	25.42
2008 06 19 00 00 00	25.91
2008 06 20 00 00 00	25.72
2008 06 21 00 00 00	26.40
2008 06 22 00 00 00	26.72
2008 06 23 00 00 00	27.07
2008 06 24 00 00 00	27.36
2008 06 25 00 00 00	27.40
2008 06 26 00 00 00	28.12
2008 06 27 00 00 00	28.20
2008 06 28 00 00 00	28.26
2008 06 29 00 00 00	28.50
2008 06 30 00 00 00	28.44
2008 07 01 00 00 00	28.07
2008 07 02 00 00 00	28.14
2008 07 03 00 00 00	28.71
2008 07 04 00 00 00	27.59
2008 07 05 00 00 00	28.55
2008 07 06 00 00 00	27.94
2008 07 07 00 00 00	28.58
2008 07 08 00 00 00	27.91
2008 07 09 00 00 00	27.89
2008 07 10 00 00 00	28.44
2008 07 11 00 00 00	28.24
2008 07 12 00 00 00	28.14
2008 07 13 00 00 00	27.53
2008 07 14 00 00 00	27.56
2008 07 15 00 00 00	28.16
2008 07 16 00 00 00	28.87
2008 07 17 00 00 00	28.77
2008 07 18 00 00 00	28.70
2008 07 19 00 00 00	29.19
2008 07 20 00 00 00	29.37
2008 07 21 00 00 00	28.95
2008 07 22 00 00 00	29.40
2008 07 23 00 00 00	28.97
2008 07 24 00 00 00	28.58
2008 07 25 00 00 00	28.69
2008 07 26 00 00 00	28.72
2008 07 27 00 00 00	29.06
2008 07 28 00 00 00	29.41
2008 07 29 00 00 00	29.74
2008 07 30 00 00 00	29.68
2008 07 31 00 00 00	29.71
2008 08 01 00 00 00	29.19
2008 08 02 00 00 00	29.04
2008 08 03 00 00 00	29.07
2008 08 04 00 00 00	28.93
2008 08 05 00 00 00	28.79
2008 08 06 00 00 00	29.27
2008 08 07 00 00 00	29.18
2008 08 08 00 00 00	-1000.00
2008 08 09 00 00 00	-1000.00
2008 08 10 00 00 00	-1000.00
2008 08 11 00 00 00	-1000.00
2008 08 12 00 00 00	-1000.00
2008 08 13 00 00 00	29.23
2008 08 14 00 00 00	29.05
2008 08 15 00 00 00	29.28
2008 08 16 00 00 00	29.04
2008 08 17 00 00 00	28.61
2008 08 18 00 00 00	29.09
2008 08 19 00 00 00	29.07
2008 08 20 00 00 00	28.90
2008 08 21 00 00 00	29.14
2008 08 22 00 00 00	29.39
2008 08 23 00 00 00	29.32
2008 08 24 00 00 00	29.18
2008 08 25 00 00 00	29.53
2008 08 26 00 00 00	29.42
2008 08 27 00 00 00	28.97
2008 08 28 00 00 00	29.07
2008 08 29 00 00 00	28.66
2008 08 30 00 00 00	28.94
2008 08 31 00 00 00	28.73
2008 09 01 00 00 00	28.83
2008 09 02 00 00 00	29.01
2008 09 03 00 00 00	29.16
2008 09 04 00 00 00	28.64
2008 09 05 00 00 00	28.32
2008 09 06 00 00 00	28.40
2008 09 07 00 00 00	28.58
2008 09 08 00 00 00	28.77
2008 09 09 00 00 00	28.72
2008 09 10 00 00 00	28.93
2008 09 11 00 00 00	28.89
2008 09 12 00 00 00	-1000.00
2008 09 13 00 00 00	-1000.00
2008 09 14 00 00 00	28.83
2008 09 15 00 00 00	28.91
2008 09 16 00 00 00	28.45
2008 09 17 00 00 00	28.44
2008 09 18 00 00 00	28.38
2008 09 19 00 00 00	28.50
2008 09 20 00 00 00	28.61
2008 09 21 00 00 00	28.65
2008 09 22 00 00 00	28.51
2008 09 23 00 00 00	28.47
2008 09 24 00 00 00	28.55
2008 09 25 00 00 00	28.41
2008 09 26 00 00 00	28.23
2008 09 27 00 00 00	28.26
2008 09 28 00 00 00	28.21
2008 09 29 00 00 00	28.16
2008 09 30 00 00 00	28.10
2008 10 01 00 00 00	27.91
2008 10 02 00 00 00	27.96
2008 10 03 00 00 00	28.01
2008 10 04 00 00 00	27.84
2008 10 05 00 00 00	27.68
2008 10 06 00 00 00	27.53
2008 10 07 00 00 00	27.33
2008 10 08 00 00 00	27.07
2008 10 09 00 00 00	26.80
2008 10 10 00 00 00	26.92
2008 10 11 00 00 00	26.98
2008 10 12 00 00 00	26.96
2008 10 13 00 00 00	26.90
2008 10 14 00 00 00	26.76
2008 10 15 00 00 00	26.92
2008 10 16 00 00 00	26.87
2008 10 17 00 00 00	26.84
2008 10 18 00 00 00	26.77
2008 10 19 00 00 00	26.53
2008 10 20 00 00 00	26.47
2008 10 21 00 00 00	26.50
2008 10 22 00 00 00	26.42
2008 10 23 00 00 00	26.41
2008 10 24 00 00 00	26.32
2008 10 25 00 00 00	26.20
2008 10 26 00 00 00	26.20
2008 10 27 00 00 00	26.06
2008 10 28 00 00 00	25.80
2008 10 29 00 00 00	25.66
2008 10 30 00 00 00	25.48
2008 10 31 00 00 00	25.75
2008 11 01 00 00 00	25.64
2008 11 02 00 00 00	25.52
2008 11 03 00 00 00	25.23
2008 11 04 00 00 00	24.94
2008 11 05 00 00 00	24.56
2008 11 06 00 00 00	23.91
2008 11 07 00 00 00	22.64
2008 11 08 00 00 00	22.33
2008 11 09 00 00 00	23.75
2008 11 10 00 00 00	23.91
2008 11 11 00 00 00	23.96
2008 11 12 00 00 00	23.92
2008 11 13 00 00 00	23.85
2008 11 14 00 00 00	23.89
2008 11 15 00 00 00	23.78
2008 11 16 00 00 00	23.58
2008 11 17 00 00 00	23.61
2008 11 18 00 00 00	23.44
2008 11 19 00 00 00	23.44
2008 11 20 00 00 00	23.45
2008 11 21 00 00 00	23.24
2008 11 22 00 00 00	23.11
2008 11 23 00 00 00	22.89
2008 11 24 00 00 00	22.74
2008 11 25 00 00 00	22.91
2008 11 26 00 00 00	23.05
2008 11 27 00 00 00	23.04
2008 11 28 00 00 00	-1000.00
2008 11 29 00 00 00	-1000.00
2008 11 30 00 00 00	22.68
2008 12 01 00 00 00	22.55
2008 12 02 00 00 00	22.51
2008 12 03 00 00 00	22.20
2008 12 04 00 00 00	21.84
2008 12 05 00 00 00	-1000.00
2008 12 06 00 00 00	-1000.00
2008 12 07 00 00 00	21.56
2008 12 08 00 00 00	21.70
2008 12 09 00 00 00	21.86
2008 12 10 00 00 00	21.54
2008 12 11 00 00 00	21.17
2008 12 12 00 00 00	20.98
2008 12 13 00 00 00	21.17
2008 12 14 00 00 00	21.27
2008 12 15 00 00 00	21.42
2008 12 16 00 00 00	21.45
2008 12 17 00 00 00	21.39
2008 12 18 00 00 00	21.18
2008 12 19 00 00 00	21.17
2008 12 20 00 00 00	21.34
2008 12 21 00 00 00	21.28
2008 12 22 00 00 00	21.13
2008 12 23 00 00 00	20.84
2008 12 24 00 00 00	20.36
2008 12 25 00 00 00	20.17
2008 12 26 00 00 00	20.02
2008 12 27 00 00 00	19.84
2008 12 28 00 00 00	20.08
2008 12 29 00 00 00	20.09
2008 12 30 00 00 00	19.92
2008 12 31 00 00 00	19.86
2009 01 01 00 00 00	19.43
2009 01 02 00 00 00	-1000.00
2009 01 03 00 00 00	19.83
2009 01 04 00 00 00	19.70
2009 01 05 00 00 00	19.43
2009 01 06 00 00 00	19.68
2009 01 07 00 00 00	19.63
2009 01 08 00 00 00	19.66
2009 01 09 00 00 00	-1000.00
2009 01 10 00 00 00	-1000.00
2009 01 11 00 00 00	19.62
2009 01 12 00 00 00	19.57
2009 01 13 00 00 00	19.19
2009 01 14 00 00 00	18.92
2009 01 15 00 00 00	18.19
2009 01 16 00 00 00	18.40
2009 01 17 00 00 00	18.51
2009 01 18 00 00 00	18.98
2009 01 19 00 00 00	18.98
2009 01 20 00 00 00	-1000.00
2009 01 21 00 00 00	18.98
2009 01 22 00 00 00	18.64
2009 01 23 00 00 00	18.25
2009 01 24 00 00 00	18.41
2009 01 25 00 00 00	18.50
2009 01 26 00 00 00	18.57
2009 01 27 00 00 00	18.67
2009 01 28 00 00 00	18.57
2009 01 29 00 00 00	18.67
2009 01 30 00 00 00	18.56
2009 01 31 00 00 00	18.35
2009 02 01 00 00 00	18.24
2009 02 02 00 00 00	18.50
2009 02 03 00 00 00	18.39
2009 02 04 00 00 00	18.29
2009 02 05 00 00 00	18.42
2009 02 06 00 00 00	18.41
2009 02 07 00 00 00	18.54
2009 02 08 00 00 00	18.65
2009 02 09 00 00 00	18.61
2009 02 10 00 00 00	18.46
2009 02 11 00 00 00	18.27
2009 02 12 00 00 00	18.27
2009 02 13 00 00 00	18.25
2009 02 14 00 00 00	18.29
2009 02 15 00 00 00	18.30
2009 02 16 00 00 00	18.12
2009 02 17 00 00 00	17.95
2009 02 18 00 00 00	18.01
2009 02 19 00 00 00	18.01
2009 02 20 00 00 00	17.94
2009 02 21 00 00 00	17.73
2009 02 22 00 00 00	17.56
2009 02 23 00 00 00	17.56
2009 02 24 00 00 00	17.52
2009 02 25 00 00 00	17.58
2009 02 26 00 00 00	17.81
2009 02 27 00 00 00	17.77
2009 02 28 00 00 00	17.48
2009 03 01 00 00 00	17.27
2009 03 02 00 00 00	17.09
2009 03 03 00 00 00	17.22
2009 03 04 00 00 00	17.29
2009 03 05 00 00 00	17.32
2009 03 06 00 00 00	17.31
2009 03 07 00 00 00	17.53
2009 03 08 00 00 00	17.77
2009 03 09 00 00 00	17.72
2009 03 10 00 00 00	17.90
2009 03 11 00 00 00	17.95
2009 03 12 00 00 00	18.04
2009 03 13 00 00 00	17.98
2009 03 14 00 00 00	18.11
2009 03 15 00 00 00	17.99
2009 03 16 00 00 00	18.01
2009 03 17 00 00 00	17.92
2009 03 18 00 00 00	17.89
2009 03 19 00 00 00	17.94
2009 03 20 00 00 00	17.92
2009 03 21 00 00 00	17.90
2009 03 22 00 00 00	17.93
2009 03 23 00 00 00	17.91
2009 03 24 00 00 00	17.88
2009 03 25 00 00 00	17.76
2009 03 26 00 00 00	17.81
2009 03 27 00 00 00	17.88
2009 03 28 00 00 00	17.76
2009 03 29 00 00 00	17.71
2009 03 30 00 00 00	17.75
2009 03 31 00 00 00	17.77
2009 04 01 00 00 00	17.78
2009 04 02 00 00 00	18.05
2009 04 03 00 00 00	18.40
2009 04 04 00 00 00	18.46
2009 04 05 00 00 00	18.29
2009 04 06 00 00 00	18.43
2009 04 07 00 00 00	18.77
2009 04 08 00 00 00	18.72
2009 04 09 00 00 00	18.97
2009 04 10 00 00 00	19.02
2009 04 11 00 00 00	18.99
2009 04 12 00 00 00	18.71
2009 04 13 00 00 00	18.27
2009 04 14 00 00 00	18.09
2009 04 15 00 00 00	18.79
2009 04 16 00 00 00	19.16
2009 04 17 00 00 00	19.31
2009 04 18 00 00 00	19.50
2009 04 19 00 00 00	19.42
2009 04 20 00 00 00	-1000.00
2009 04 21 00 00 00	-1000.00
2009 04 22 00 00 00	-1000.00
2009 04 23 00 00 00	-1000.00
2009 04 24 00 00 00	-1000.00
2009 04 25 00 00 00	-1000.00
2009 04 26 00 00 00	-1000.00
2009 04 27 00 00 00	-1000.00
2009 04 28 00 00 00	-1000.00
2009 04 29 00 00 00	-1000.00
2009 04 30 00 00 00	-1000.00
2009 05 01 00 00 00	-1000.00
2009 05 02 00 00 00	-1000.00
2009 05 03 00 00 00	-1000.00
2009 05 04 00 00 00	-1000.00
2009 05 05 00 00 00	-1000.00
2009 05 06 00 00 00	-1000.00
2009 05 07 00 00 00	-1000.00
2009 05 08 00 00 00	-1000.00
2009 05 09 00 00 00	-1000.00
2009 05 10 00 00 00	-1000.00
2009 05 11 00 00 00	-1000.00
2009 05 12 00 00 00	-1000.00
2009 05 13 00 00 00	-1000.00
2009 05 14 00 00 00	-1000.00
2009 05 15 00 00 00	-1000.00
2009 05 16 00 00 00	-1000.00
2009 05 17 00 00 00	-1000.00
2009 05 18 00 00 00	-1000.00
2009 05 19 00 00 00	-1000.00
2009 05 20 00 00 00	-1000.00
2009 05 21 00 00 00	-1000.00
2009 05 22 00 00 00	-1000.00
2009 05 23 00 00 00	-1000.00
2009 05 24 00 00 00	-1000.00
2009 05 25 00 00 00	-1000.00
2009 05 26 00 00 00	20.41
2009 05 27 00 00 00	20.53
2009 05 28 00 00 00	20.84
2009 05 29 00 00 00	21.34
2009 05 30 00 00 00	22.27
2009 05 31 00 00 00	22.54
2009 06 01 00 00 00	23.01
2009 06 02 00 00 00	23.25
2009 06 03 00 00 00	23.86
2009 06 04 00 00 00	23.56
2009 06 05 00 00 00	23.44
2009 06 06 00 00 00	22.65
2009 06 07 00 00 00	20.94
2009 06 08 00 00 00	20.87
2009 06 09 00 00 00	20.77
2009 06 10 00 00 00	20.84
2009 06 11 00 00 00	21.89
2009 06 12 00 00 00	23.63
2009 06 13 00 00 00	25.17
2009 06 14 00 00 00	25.54
2009 06 15 00 00 00	25.74
2009 06 16 00 00 00	25.37
2009 06 17 00 00 00	25.87
2009 06 18 00 00 00	26.23
2009 06 19 00 00 00	26.86
2009 06 20 00 00 00	26.10
2009 06 21 00 00 00	26.58
2009 06 22 00 00 00	27.53
2009 06 23 00 00 00	26.78
2009 06 24 00 00 00	26.15
2009 06 25 00 00 00	24.98
2009 06 26 00 00 00	24.83
2009 06 27 00 00 00	25.00
2009 06 28 00 00 00	25.61
2009 06 29 00 00 00	26.07
2009 06 30 00 00 00	25.44
2009 07 01 00 00 00	23.98
2009 07 02 00 00 00	23.84
2009 07 03 00 00 00	24.01
2009 07 04 00 00 00	25.85
2009 07 05 00 00 00	27.40
2009 07 06 00 00 00	27.77
2009 07 07 00 00 00	28.22
2009 07 08 00 00 00	28.02
2009 07 09 00 00 00	27.86
2009 07 10 00 00 00	27.88
2009 07 11 00 00 00	27.96
2009 07 12 00 00 00	28.19
2009 07 13 00 00 00	28.65
2009 07 14 00 00 00	28.35
2009 07 15 00 00 00	28.71
2009 07 16 00 00 00	27.83
2009 07 17 00 00 00	28.86
2009 07 18 00 00 00	28.17
2009 07 19 00 00 00	28.02
2009 07 20 00 00 00	28.96
2009 07 21 00 00 00	29.13
2009 07 22 00 00 00	28.86
2009 07 23 00 00 00	29.58
2009 07 24 00 00 00	28.91
2009 07 25 00 00 00	29.64
2009 07 26 00 00 00	29.63
2009 07 27 00 00 00	28.99
2009 07 28 00 00 00	29.01
2009 07 29 00 00 00	28.29
2009 07 30 00 00 00	29.80
2009 07 31 00 00 00	28.22
2009 08 01 00 00 00	28.97
2009 08 02 00 00 00	29.70
2009 08 03 00 00 00	29.80
2009 08 04 00 00 00	29.16
2009 08 05 00 00 00	29.18
2009 08 06 00 00 00	28.68
2009 08 07 00 00 00	29.36
2009 08 08 00 00 00	29.37
2009 08 09 00 00 00	29.07
2009 08 10 00 00 00	29.61
2009 08 11 00 00 00	29.38
2009 08 12 00 00 00	29.44
2009 08 13 00 00 00	28.99
2009 08 14 00 00 00	28.88
2009 08 15 00 00 00	29.97
2009 08 16 00 00 00	28.70
2009 08 17 00 00 00	28.62
2009 08 18 00 00 00	28.74
2009 08 19 00 00 00	29.63
2009 08 20 00 00 00	29.86
2009 08 21 00 00 00	29.98
2009 08 22 00 00 00	30.02
2009 08 23 00 00 00	29.33
2009 08 24 00 00 00	28.93
2009 08 25 00 00 00	29.92
2009 08 26 00 00 00	29.76
2009 08 27 00 00 00	29.39
2009 08 28 00 00 00	29.22
2009 08 29 00 00 00	29.49
2009 08 30 00 00 00	29.22
2009 08 31 00 00 00	29.67
2009 09 01 00 00 00	29.11
2009 09 02 00 00 00	29.07
2009 09 03 00 00 00	29.18
2009 09 04 00 00 00	29.15
2009 09 05 00 00 00	28.97
2009 09 06 00 00 00	29.00
2009 09 07 00 00 00	29.06
2009 09 08 00 00 00	29.50
2009 09 09 00 00 00	29.49
2009 09 10 00 00 00	29.44
2009 09 11 00 00 00	29.24
2009 09 12 00 00 00	28.74
2009 09 13 00 00 00	28.80
2009 09 14 00 00 00	28.81
2009 09 15 00 00 00	28.16
2009 09 16 00 00 00	28.49
2009 09 17 00 00 00	28.62
2009 09 18 00 00 00	28.76
2009 09 19 00 00 00	28.45
2009 09 20 00 00 00	28.43
2009 09 21 00 00 00	28.63
2009 09 22 00 00 00	28.51
2009 09 23 00 00 00	28.50
2009 09 24 00 00 00	28.17
2009 09 25 00 00 00	27.31
2009 09 26 00 00 00	26.40
2009 09 27 00 00 00	27.11
2009 09 28 00 00 00	27.21
2009 09 29 00 00 00	27.42
2009 09 30 00 00 00	27.38
2009 10 01 00 00 00	27.23
2009 10 02 00 00 00	27.17
2009 10 03 00 00 00	26.58
2009 10 04 00 00 00	26.07
2009 10 05 00 00 00	25.87
2009 10 06 00 00 00	26.72
2009 10 07 00 00 00	26.95
2009 10 08 00 00 00	26.94
2009 10 09 00 00 00	26.83
2009 10 10 00 00 00	26.90
2009 10 11 00 00 00	26.88
2009 10 12 00 00 00	26.94
2009 10 13 00 00 00	26.99
2009 10 14 00 00 00	26.93
2009 10 15 00 00 00	26.74
2009 10 16 00 00 00	26.66
2009 10 17 00 00 00	26.64
2009 10 18 00 00 00	26.59
2009 10 19 00 00 00	26.55
2009 10 20 00 00 00	26.51
2009 10 21 00 00 00	26.52
2009 10 22 00 00 00	26.47
2009 10 23 00 00 00	26.24
2009 10 24 00 00 00	25.08
2009 10 25 00 00 00	26.23
2009 10 26 00 00 00	26.29
2009 10 27 00 00 00	26.25
2009 10 28 00 00 00	26.08
2009 10 29 00 00 00	26.05
2009 10 30 00 00 00	25.83
2009 10 31 00 00 00	25.57
2009 11 01 00 00 00	25.60
2009 11 02 00 00 00	25.11
2009 11 03 00 00 00	24.79
2009 11 04 00 00 00	24.47
2009 11 05 00 00 00	24.63
2009 11 06 00 00 00	24.81
2009 11 07 00 00 00	24.47
2009 11 08 00 00 00	24.37
2009 11 09 00 00 00	24.59
2009 11 10 00 00 00	24.52
2009 11 11 00 00 00	24.43
2009 11 12 00 00 00	24.43
2009 11 13 00 00 00	24.39
2009 11 14 00 00 00	24.19
2009 11 15 00 00 00	24.09
2009 11 16 00 00 00	23.87
2009 11 17 00 00 00	23.72
2009 11 18 00 00 00	23.18
2009 11 19 00 00 00	23.20
2009 11 20 00 00 00	23.19
2009 11 21 00 00 00	22.90
2009 11 22 00 00 00	22.97
2009 11 23 00 00 00	22.90
2009 11 24 00 00 00	22.50
2009 11 25 00 00 00	22.48
2009 11 26 00 00 00	22.42
2009 11 27 00 00 00	22.20
2009 11 28 00 00 00	22.11
2009 11 29 00 00 00	22.04
2009 11 30 00 00 00	22.14
2009 12 01 00 00 00	22.42
2009 12 02 00 00 00	22.11
2009 12 03 00 00 00	21.93
2009 12 04 00 00 00	21.90
2009 12 05 00 00 00	21.81
2009 12 06 00 00 00	21.90
2009 12 07 00 00 00	21.66
2009 12 08 00 00 00	21.44
2009 12 09 00 00 00	21.60
2009 12 10 00 00 00	21.60
2009 12 11 00 00 00	21.55
2009 12 12 00 00 00	21.19
2009 12 13 00 00 00	20.99
2009 12 14 00 00 00	20.74
2009 12 15 00 00 00	20.89
2009 12 16 00 00 00	20.78
2009 12 17 00 00 00	20.55
2009 12 18 00 00 00	20.35
2009 12 19 00 00 00	20.29
2009 12 20 00 00 00	20.37
2009 12 21 00 00 00	20.28
2009 12 22 00 00 00	20.48
2009 12 23 00 00 00	20.30
2009 12 24 00 00 00	20.45
2009 12 25 00 00 00	20.30
2009 12 26 00 00 00	20.33
2009 12 27 00 00 00	20.20
2009 12 28 00 00 00	20.24
2009 12 29 00 00 00	20.12
2009 12 30 00 00 00	20.03
2009 12 31 00 00 00	19.98
2010 01 01 00 00 00	19.94
2010 01 02 00 00 00	19.90
2010 01 03 00 00 00	19.82
2010 01 04 00 00 00	19.90
2010 01 05 00 00 00	19.80
2010 01 06 00 00 00	19.73
2010 01 07 00 00 00	19.74
2010 01 08 00 00 00	19.68
2010 01 09 00 00 00	19.68
2010 01 10 00 00 00	19.65
2010 01 11 00 00 00	19.61
2010 01 12 00 00 00	19.59
2010 01 13 00 00 00	19.66
2010 01 14 00 00 00	19.61
2010 01 15 00 00 00	19.46
2010 01 16 00 00 00	19.50
2010 01 17 00 00 00	19.43
2010 01 18 00 00 00	19.44
2010 01 19 00 00 00	19.28
2010 01 20 00 00 00	19.05
2010 01 21 00 00 00	18.98
2010 01 22 00 00 00	19.00
2010 01 23 00 00 00	-1000.00
2010 01 24 00 00 00	18.81
2010 01 25 00 00 00	18.60
2010 01 26 00 00 00	18.32
2010 01 27 00 00 00	18.42
2010 01 28 00 00 00	18.42
2010 01 29 00 00 00	18.54
2010 01 30 00 00 00	18.51
2010 01 31 00 00 00	18.65
2010 02 01 00 00 00	18.81
2010 02 02 00 00 00	18.84
2010 02 03 00 00 00	18.80
2010 02 04 00 00 00	18.22
2010 02 05 00 00 00	17.74
2010 02 06 00 00 00	17.76
2010 02 07 00 00 00	18.02
2010 02 08 00 00 00	17.82
2010 02 09 00 00 00	17.99
2010 02 10 00 00 00	18.02
2010 02 11 00 00 00	18.05
2010 02 12 00 00 00	18.15
2010 02 13 00 00 00	18.40
2010 02 14 00 00 00	18.27
2010 02 15 00 00 00	18.27
2010 02 16 00 00 00	18.28
2010 02 17 00 00 00	18.33
2010 02 18 00 00 00	18.38
2010 02 19 00 00 00	18.50
2010 02 20 00 00 00	-1000.00
2010 02 21 00 00 00	-1000.00
2010 02 22 00 00 00	18.72
2010 02 23 00 00 00	18.84
2010 02 24 00 00 00	18.80
2010 02 25 00 00 00	18.83
2010 02 26 00 00 00	18.64
2010 02 27 00 00 00	-1000.00
2010 02 28 00 00 00	18.15
2010 03 01 00 00 00	18.04
2010 03 02 00 00 00	18.06
2010 03 03 00 00 00	18.22
2010 03 04 00 00 00	18.33
2010 03 05 00 00 00	18.31
2010 03 06 00 00 00	18.42
2010 03 07 00 00 00	18.55
2010 03 08 00 00 00	18.44
2010 03 09 00 00 00	-1000.00
2010 03 10 00 00 00	-1000.00
2010 03 11 00 00 00	-1000.00
2010 03 12 00 00 00	-1000.00
2010 03 13 00 00 00	-1000.00
2010 03 14 00 00 00	-1000.00
2010 03 15 00 00 00	18.58
2010 03 16 00 00 00	18.64
2010 03 17 00 00 00	18.70
2010 03 18 00 00 00	18.88
2010 03 19 00 00 00	18.79
2010 03 20 00 00 00	18.77
2010 03 21 00 00 00	18.61
2010 03 22 00 00 00	18.37
2010 03 23 00 00 00	18.23
2010 03 24 00 00 00	18.40
2010 03 25 00 00 00	18.53
2010 03 26 00 00 00	18.67
2010 03 27 00 00 00	18.66
2010 03 28 00 00 00	18.91
2010 03 29 00 00 00	19.03
2010 03 30 00 00 00	19.04
2010 03 31 00 00 00	19.10
2010 04 01 00 00 00	19.08
2010 04 02 00 00 00	19.23
2010 04 03 00 00 00	19.23
2010 04 04 00 00 00	19.21
2010 04 05 00 00 00	19.12
2010 04 06 00 00 00	19.11
2010 04 07 00 00 00	19.20
2010 04 08 00 00 00	19.77
2010 04 09 00 00 00	20.21
2010 04 10 00 00 00	20.15
2010 04 11 00 00 00	19.83
2010 04 12 00 00 00	20.23
2010 04 13 00 00 00	20.34
2010 04 14 00 00 00	20.28
2010 04 15 00 00 00	19.87
2010 04 16 00 00 00	19.34
2010 04 17 00 00 00	19.21
2010 04 18 00 00 00	19.21
2010 04 19 00 00 00	19.13
2010 04 20 00 00 00	19.01
2010 04 21 00 00 00	18.88
2010 04 22 00 00 00	18.87
2010 04 23 00 00 00	19.28
2010 04 24 00 00 00	19.67
2010 04 25 00 00 00	19.40
2010 04 26 00 00 00	19.31
2010 04 27 00 00 00	19.73
2010 04 28 00 00 00	20.13
2010 04 29 00 00 00	20.88
2010 04 30 00 00 00	20.95
2010 05 01 00 00 00	21.01
2010 05 02 00 00 00	21.32
2010 05 03 00 00 00	21.64
2010 05 04 00 00 00	21.68
2010 05 05 00 00 00	21.59
2010 05 06 00 00 00	21.42
2010 05 07 00 00 00	21.64
2010 05 08 00 00 00	21.43
2010 05 09 00 00 00	21.28
2010 05 10 00 00 00	21.33
2010 05 11 00 00 00	22.61
2010 05 12 00 00 00	22.58
2010 05 13 00 00 00	22.59
2010 05 14 00 00 00	22.47
2010 05 15 00 00 00	22.23
2010 05 16 00 00 00	22.26
2010 05 17 00 00 00	21.81
2010 05 18 00 00 00	21.84
2010 05 19 00 00 00	22.25
2010 05 20 00 00 00	22.53
2010 05 21 00 00 00	22.56
2010 05 22 00 00 00	22.60
2010 05 23 00 00 00	22.82
2010 05 24 00 00 00	23.42
2010 05 25 00 00 00	23.51
2010 05 26 00 00 00	22.70
2010 05 27 00 00 00	22.38
2010 05 28 00 00 00	23.14
2010 05 29 00 00 00	23.82
2010 05 30 00 00 00	23.99
2010 05 31 00 00 00	23.53
2010 06 01 00 00 00	22.79
2010 06 02 00 00 00	-1000.00
2010 06 03 00 00 00	-1000.00
2010 06 04 00 00 00	-1000.00
2010 06 05 00 00 00	-1000.00
2010 06 06 00 00 00	-1000.00
2010 06 07 00 00 00	-1000.00
2010 06 08 00 00 00	-1000.00
2010 06 09 00 00 00	-1000.00
2010 06 10 00 00 00	-1000.00
2010 06 11 00 00 00	-1000.00
2010 06 12 00 00 00	-1000.00
2010 06 13 00 00 00	-1000.00
2010 06 14 00 00 00	-1000.00
2010 06 15 00 00 00	24.31
2010 06 16 00 00 00	24.61
2010 06 17 00 00 00	25.38
2010 06 18 00 00 00	26.00
2010 06 19 00 00 00	26.57
2010 06 20 00 00 00	26.36
2010 06 21 00 00 00	25.49
2010 06 22 00 00 00	26.25
2010 06 23 00 00 00	26.47
2010 06 24 00 00 00	26.69
2010 06 25 00 00 00	26.64
2010 06 26 00 00 00	26.78
2010 06 27 00 00 00	26.88
2010 06 28 00 00 00	27.04
2010 06 29 00 00 00	26.94
2010 06 30 00 00 00	26.41
2010 07 01 00 00 00	-1000.00
2010 07 02 00 00 00	-1000.00
2010 07 03 00 00 00	-1000.00
2010 07 04 00 00 00	-1000.00
2010 07 05 00 00 00	-1000.00
2010 07 06 00 00 00	-1000.00
2010 07 07 00 00 00	-1000.00
2010 07 08 00 00 00	-1000.00
2010 07 09 00 00 00	-1000.00
2010 07 10 00 00 00	-1000.00
2010 07 11 00 00 00	-1000.00
2010 07 12 00 00 00	-1000.00
2010 07 13 00 00 00	-1000.00
2010 07 14 00 00 00	-1000.00
2010 07 15 00 00 00	-1000.00
2010 07 16 00 00 00	-1000.00
2010 07 17 00 00 00	-1000.00
2010 07 18 00 00 00	-1000.00
2010 07 19 00 00 00	-1000.00
2010 07 20 00 00 00	-1000.00
2010 07 21 00 00 00	-1000.00
2010 07 22 00 00 00	-1000.00
2010 07 23 00 00 00	-1000.00
2010 07 24 00 00 00	-1000.00
2010 07 25 00 00 00	-1000.00
2010 07 26 00 00 00	-1000.00
2010 07 27 00 00 00	-1000.00
2010 07 28 00 00 00	-1000.00
2010 07 29 00 00 00	-1000.00
2010 07 30 00 00 00	-1000.00
2010 07 31 00 00 00	-1000.00
2010 08 01 00 00 00	-1000.00
2010 08 02 00 00 00	-1000.00
2010 08 03 00 00 00	-1000.00
2010 08 04 00 00 00	-1000.00
2010 08 05 00 00 00	-1000.00
2010 08 06 00 00 00	-1000.00
2010 08 07 00 00 00	-1000.00
2010 08 08 00 00 00	-1000.00
2010 08 09 00 00 00	-1000.00
2010 08 10 00 00 00	-1000.00
2010 08 11 00 00 00	-1000.00
2010 08 12 00 00 00	28.96
2010 08 13 00 00 00	28.63
2010 08 14 00 00 00	29.44
2010 08 15 00 00 00	29.05
2010 08 16 00 00 00	29.28
2010 08 17 00 00 00	29.26
2010 08 18 00 00 00	30.01
2010 08 19 00 00 00	29.90
2010 08 20 00 00 00	28.81
2010 08 21 00 00 00	28.90
2010 08 22 00 00 00	30.13
2010 08 23 00 00 00	30.29
2010 08 24 00 00 00	30.76
2010 08 25 00 00 00	30.66
