" ""Arg""",AIC,delta,,,,,,,,
1,co_3_int,35882.50665,0,,,,,,,
2,co_3,35885.05911,2.552462777,,,,,,,
3,co_5,36061.96663,179.4599819,,,,,,,
4,co_5_int,36066.67355,184.1668988,,,,,,,
5,co_1_int,36177.02726,294.520607,,,,,,,
6,co_1,36190.85233,308.3456817,,,,,,,
7,co_int,36491.20957,608.7029199,,,,,,,
8,co,36506.27046,623.763812,,,,,,,
"""Umo""",AIC,delta,,,,,,,,
1,co_3,43546.8941,0,,,,,,,
2,co_3_int,43568.19702,21.30292294,,,,,,,
3,co_5,43774.50212,227.6080197,,,,,,,
4,co_5_int,43783.34147,236.4473742,,,,,,,
5,co_1,43794.42961,247.5355108,,,,,,,
6,co_1_int,43828.03764,281.1435388,,,,,,,
7,co,44083.48584,536.591745,,,,,,,
8,co_int,44126.4967,579.6025981,,,,,,,
" ""Upo""   ",AIC,delta,,,,,,,,
1,co_1_int,22931.23067,0,,,,,,,
2,co_1,22952.80426,21.57358787,,,,,,,
3,co_int,23026.98588,95.75521444,,,,,,,
4,co_3_int,23027.51687,96.28620122,,,,,,,
5,co_3,23036.77576,105.545087,,,,,,,
6,co,23057.60045,126.3697844,,,,,,,
7,co_5,23484.87666,553.6459878,,,,,,,
8,co_5_int,23485.96583,554.7351607,,,,,,,
